index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_35B1A8,2025-09-29 11:00:00+00:00,19.56,,58.63,25.33,100.0,0.0,0.0,0.0399999991059303,1428.5,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
1,SENS_35B1A8,2026-03-06 09:15:00+00:00,18.46,,79.48,36.198,8.4,0.0,0.0,0.0319999992847442,1487.0,,0.2,5.1,93.0,1003.3,12.1,337.0,100.0,,0.1,,
2,SENS_35B1A8,2026-03-06 09:25:00+00:00,24.686,,55.29,37.664,4.4,0.0,0.0,0.0,1572.8,,0.0,5.1,93.0,1003.3,12.1,337.0,100.0,,0.1,,
3,SENS_35B1A8,2026-03-06 09:35:00+00:00,26.89,,48.425,37.83,29.5,0.0,0.0,0.0,1581.0,,1.0,5.8,91.0,1003.8,9.9,339.0,100.0,,0.0,,
4,SENS_35B1A8,2026-03-06 09:55:00+00:00,27.6,,45.872,38.53,22.0,0.0,0.0,0.0,1625.6,,1.0,5.8,91.0,1003.8,9.9,339.0,100.0,,0.0,,
5,SENS_35B1A8,2026-03-06 10:05:00+00:00,27.592,,46.086,38.862,5.0,0.0,0.0,0.0,1659.0,,0.8,5.8,91.0,1003.8,9.9,339.0,100.0,,0.0,,
6,SENS_35B1A8,2026-03-06 10:15:00+00:00,27.504,,44.004000000000005,38.73,4.8,0.0,0.0,0.0,1648.6,,0.8,5.8,91.0,1003.8,9.9,339.0,100.0,,0.0,,
7,SENS_35B1A8,2026-03-06 10:25:00+00:00,27.136000000000003,,43.944,39.2,5.2,0.0,0.0,0.0,1645.0,,0.0,5.8,91.0,1003.8,9.9,339.0,100.0,,0.0,,
8,SENS_35B1A8,2026-03-06 10:35:00+00:00,27.044,,43.742,37.064,3.8,0.0,0.0,0.0,1638.6,,0.6,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
9,SENS_35B1A8,2026-03-06 10:45:00+00:00,27.116,,43.302,37.932,3.4,0.0,0.0,0.0,1619.6,,0.2,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
10,SENS_35B1A8,2026-03-06 10:55:00+00:00,26.862,,43.554,37.198,3.0,0.0,0.0,0.0,1594.4,,0.0,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
11,SENS_35B1A8,2026-03-06 11:15:00+00:00,26.475,,44.055,38.165,5.0,0.0,0.0,0.0,1559.5,,0.0,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
12,SENS_35B1A8,2026-03-06 11:25:00+00:00,26.414,,44.02,36.064,3.4,0.0,0.0,0.0,1542.0,,0.0,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
13,SENS_35B1A8,2026-03-06 11:35:00+00:00,26.106,,44.484,37.198,2.8,0.0,0.0,0.0,1516.2,,0.0,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
14,SENS_35B1A8,2026-03-06 11:45:00+00:00,26.064,,44.296,37.528,3.0,0.0,0.0,0.0,1489.8,,0.0,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
15,SENS_35B1A8,2026-03-06 11:55:00+00:00,25.892,,44.45,37.33,4.4,0.0,0.0,0.0,1467.6,,0.0,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
16,SENS_35B1A8,2026-03-06 12:05:00+00:00,25.892,,44.142,37.66199999999999,5.2,0.0,0.0,0.0,1445.0,,0.0,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
17,SENS_35B1A8,2026-03-06 12:15:00+00:00,26.314,,43.70399999999999,30.064,36.8,0.0,0.0,0.0,1430.4,,1.0,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
18,SENS_35B1A8,2026-03-06 12:25:00+00:00,26.5325,,42.84499999999999,32.66,3.0,0.0,0.0,0.0,1439.0,,0.5,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
19,SENS_35B1A8,2026-03-06 12:35:00+00:00,26.422500000000003,,42.41,34.662499999999994,3.0,0.0,0.0,0.0,1407.5,,0.0,6.7,84.0,1004.9,9.7,341.0,100.0,,0.0,,
20,SENS_35B1A8,2026-03-06 12:45:00+00:00,26.2475,,42.6475,32.7475,3.75,0.0,0.0,0.0,1416.0,,0.0,6.7,84.0,1004.9,9.7,341.0,100.0,,0.0,,
21,SENS_35B1A8,2026-03-06 12:55:00+00:00,26.112,,42.734,29.728,3.8,0.0,0.0,0.0,1419.6,,0.0,6.7,84.0,1004.9,9.7,341.0,100.0,,0.0,,
22,SENS_35B1A8,2026-03-06 13:05:00+00:00,26.038,,42.72,28.798,3.4,0.0,0.0,0.0,1405.8,,0.0,6.7,84.0,1004.9,9.7,341.0,100.0,,0.0,,
23,SENS_35B1A8,2026-03-06 13:15:00+00:00,25.95800000000001,,42.564,28.73,3.6,0.0,0.0,0.0,1377.4,,0.0,6.7,84.0,1004.9,9.7,341.0,100.0,,0.0,,
24,SENS_35B1A8,2026-03-06 13:25:00+00:00,25.928,,42.336,31.264,4.6,0.0,0.0,0.0,1367.4,,1.0,6.7,84.0,1004.9,9.7,341.0,100.0,,0.0,,
25,SENS_35B1A8,2026-03-06 13:35:00+00:00,26.0525,,43.5975,19.915,4.25,0.0,0.0,0.0,1411.5,,0.75,6.8,84.0,1004.8,8.5,348.0,100.0,,0.0,,
26,SENS_35B1A8,2026-03-06 14:05:00+00:00,26.298,,43.408,19.596,2.4,0.0,0.0,0.0,1369.0,,0.0,6.8,84.0,1004.8,8.5,348.0,100.0,,0.0,,
27,SENS_35B1A8,2026-03-06 14:15:00+00:00,26.296,,43.262,20.732,6.6,0.0,0.0,0.0,1357.2,,0.0,6.8,84.0,1004.8,8.5,348.0,100.0,,0.0,,
28,SENS_35B1A8,2026-03-06 14:25:00+00:00,26.27,,42.842,17.932,6.8,0.0,0.0,0.0,1339.4,,0.0,6.8,84.0,1004.8,8.5,348.0,100.0,,0.0,,
29,SENS_35B1A8,2026-03-06 14:35:00+00:00,26.186,,42.846,18.33,4.4,0.0,0.0,0.0,1318.8,,0.0,7.1,84.0,1004.7,9.5,346.0,100.0,,0.0,,
30,SENS_35B1A8,2026-03-06 14:45:00+00:00,26.128,,42.756,18.932,2.4,0.0,0.0,0.0,1298.6,,0.0,7.1,84.0,1004.7,9.5,346.0,100.0,,0.0,,
31,SENS_35B1A8,2026-03-06 14:55:00+00:00,26.065,,42.715,18.66,3.0,0.0,0.0,0.0,1292.0,,0.0,7.1,84.0,1004.7,9.5,346.0,100.0,,0.0,,
32,SENS_35B1A8,2026-03-06 15:05:00+00:00,25.995,,42.625,19.33,3.0,0.0,0.0,0.0,1264.0,,0.0,7.1,84.0,1004.7,9.5,346.0,100.0,,0.0,,
33,SENS_35B1A8,2026-03-06 15:15:00+00:00,25.95,,42.486,19.996,3.0,0.0,0.0,0.0,1243.4,,0.0,7.1,84.0,1004.7,9.5,346.0,100.0,,0.0,,
34,SENS_35B1A8,2026-03-06 15:25:00+00:00,25.902,,42.38,18.132,3.0,0.0,0.0,0.0,1235.2,,0.0,7.1,84.0,1004.7,9.5,346.0,100.0,,0.0,,
35,SENS_35B1A8,2026-03-06 15:35:00+00:00,25.84,,42.184000000000005,18.932,2.4,0.0,0.0,0.0,1210.2,,0.0,7.0,83.0,1005.1,10.2,343.0,100.0,,0.0,,
36,SENS_35B1A8,2026-03-06 15:45:00+00:00,25.778,,42.260000000000005,17.328,2.4,0.0,0.0,0.0,1208.4,,0.0,7.0,83.0,1005.1,10.2,343.0,100.0,,0.0,,
37,SENS_35B1A8,2026-03-06 15:55:00+00:00,25.75,,42.01800000000001,16.996,8.4,0.0,0.0,0.0,1193.0,,0.0,7.0,83.0,1005.1,10.2,343.0,100.0,,0.0,,
38,SENS_35B1A8,2026-03-06 16:05:00+00:00,26.053999999999995,,43.252,16.997999999999998,7.6,0.0,0.0,0.0,1199.6,,0.2,7.0,83.0,1005.1,10.2,343.0,100.0,,0.0,,
39,SENS_35B1A8,2026-03-06 16:15:00+00:00,26.726,,44.278,18.662,3.0,0.0,0.0,0.0,1192.2,,0.0,7.0,83.0,1005.1,10.2,343.0,100.0,,0.0,,
40,SENS_35B1A8,2026-03-06 16:25:00+00:00,27.17,,45.12,18.0,64.0,0.0,0.0,0.0,1221.0,,1.0,7.0,83.0,1005.1,10.2,343.0,100.0,,0.0,,
41,SENS_35B1A8,2026-03-06 16:35:00+00:00,27.49,,46.876666666666665,17.22,3.0,0.0,0.0,0.0,1222.6666666666667,,0.0,6.7,83.0,1005.5,9.4,347.0,100.0,,0.0,,
42,SENS_35B1A8,2026-03-06 16:45:00+00:00,27.835,,48.3975,16.745,3.0,0.0,0.0,0.0,1271.75,,0.0,6.7,83.0,1005.5,9.4,347.0,100.0,,0.0,,
43,SENS_35B1A8,2026-03-06 16:55:00+00:00,28.108,,48.91,15.462,5.2,0.0,0.0,0.0,1350.8,,0.0,6.7,83.0,1005.5,9.4,347.0,100.0,,0.0,,
44,SENS_35B1A8,2026-03-06 17:05:00+00:00,28.406,,48.728,15.132,4.0,0.0,0.0,0.0,1397.2,,0.0,6.7,83.0,1005.5,9.4,347.0,100.0,,0.0,,
45,SENS_35B1A8,2026-03-06 17:15:00+00:00,28.524,,46.77,14.932,16.2,0.0,0.0,0.0,1440.4,,0.2,6.7,83.0,1005.5,9.4,347.0,100.0,,0.0,,
46,SENS_35B1A8,2026-03-06 17:25:00+00:00,28.502,,49.260000000000005,14.0,10.4,0.0,0.0,0.0,1516.6,,1.0,6.7,83.0,1005.5,9.4,347.0,100.0,,0.0,,
47,SENS_35B1A8,2026-03-06 17:35:00+00:00,28.773999999999997,,49.054,13.864,3.0,0.0,0.0,0.0,1476.6,,0.0,6.4,84.0,1006.1,7.0,342.0,100.0,,0.0,,
48,SENS_35B1A8,2026-03-06 17:45:00+00:00,28.97,,48.34,14.0,3.0,0.0,0.0,0.0,1484.5,,0.0,6.4,84.0,1006.1,7.0,342.0,100.0,,0.0,,
49,SENS_35B1A8,2026-03-06 17:55:00+00:00,29.062,,46.718,14.0,3.8,0.0,0.0,0.0,1491.6,,0.2,6.4,84.0,1006.1,7.0,342.0,100.0,,0.0,,
50,SENS_35B1A8,2026-03-06 18:05:00+00:00,29.036666666666665,,45.11166666666667,13.773333333333332,4.333333333333333,0.0,0.0,0.0,1489.5,,0.0,6.4,84.0,1006.1,7.0,342.0,100.0,,0.0,,
51,SENS_35B1A8,2026-03-06 18:15:00+00:00,29.102000000000004,,44.112,13.796,3.0,0.0,0.0,0.0,1499.0,,0.0,6.4,84.0,1006.1,7.0,342.0,100.0,,0.0,,
52,SENS_35B1A8,2026-03-06 18:25:00+00:00,28.9775,,44.0275,13.745,3.0,0.0,0.0,0.0,1504.25,,0.0,6.4,84.0,1006.1,7.0,342.0,100.0,,0.0,,
53,SENS_35B1A8,2026-03-06 18:35:00+00:00,28.945,,43.8375,13.829999999999998,3.0,0.0,0.0,0.0,1481.0,,0.0,6.2,86.0,1006.7,6.5,336.0,100.0,,0.0,,
54,SENS_35B1A8,2026-03-06 18:45:00+00:00,28.852500000000003,,43.6425,13.66,3.0,0.0,0.0,0.0,1477.25,,0.0,6.2,86.0,1006.7,6.5,336.0,100.0,,0.0,,
55,SENS_35B1A8,2026-03-06 18:55:00+00:00,28.83,,43.78,13.66,2.0,0.0,0.0,0.0,1526.0,,0.0,6.2,86.0,1006.7,6.5,336.0,100.0,,0.0,,
56,SENS_35B1A8,2026-03-06 19:05:00+00:00,28.922,,43.436,13.66,2.8,0.0,0.0,0.0,1519.0,,0.0,6.2,86.0,1006.7,6.5,336.0,100.0,,0.0,,
57,SENS_35B1A8,2026-03-06 19:15:00+00:00,28.841999999999995,,44.376000000000005,13.662,4.2,0.0,0.0,0.0,1618.0,,0.4,6.2,86.0,1006.7,6.5,336.0,100.0,,0.0,,
58,SENS_35B1A8,2026-03-06 19:25:00+00:00,28.7375,,44.46000000000001,14.0,2.25,0.0,0.0,0.0,1562.25,,0.0,6.2,86.0,1006.7,6.5,336.0,100.0,,0.0,,
59,SENS_35B1A8,2026-03-06 19:35:00+00:00,28.8925,,43.205000000000005,13.83,2.75,0.0,0.0,0.0,1529.75,,0.0,6.1,87.0,1007.2,5.1,343.0,100.0,,0.0,,
60,SENS_35B1A8,2026-03-06 19:45:00+00:00,28.884,,43.216,13.864,3.0,0.0,0.0,0.0,1526.0,,0.0,6.1,87.0,1007.2,5.1,343.0,100.0,,0.0,,
61,SENS_35B1A8,2026-03-06 19:55:00+00:00,28.812,,43.324,13.728,2.6,0.0,0.0,0.0,1547.2,,0.0,6.1,87.0,1007.2,5.1,343.0,100.0,,0.0,,
62,SENS_35B1A8,2026-03-06 20:05:00+00:00,28.9,,43.31,13.66,2.0,0.0,0.0,0.0,1570.0,,0.0,6.1,87.0,1007.2,5.1,343.0,100.0,,0.0,,
63,SENS_35B1A8,2026-03-06 20:15:00+00:00,28.95800000000001,,43.284,10.928,4.2,0.0,0.0,0.0,1574.4,,0.4,6.1,87.0,1007.2,5.1,343.0,100.0,,0.0,,
64,SENS_35B1A8,2026-03-06 20:25:00+00:00,28.922,,43.42,13.864,3.0,0.0,0.0,0.0,1614.4,,0.0,6.1,87.0,1007.2,5.1,343.0,100.0,,0.0,,
65,SENS_35B1A8,2026-03-06 20:35:00+00:00,28.888,,43.23,13.864,2.8,0.0,0.0,0.0,1602.8,,0.0,5.8,89.0,1007.5,4.8,349.0,96.0,,0.0,,
66,SENS_35B1A8,2026-03-06 20:45:00+00:00,28.768,,43.186,13.864,2.4,0.0,0.0,0.0,1580.4,,0.0,5.8,89.0,1007.5,4.8,349.0,96.0,,0.0,,
67,SENS_35B1A8,2026-03-06 20:55:00+00:00,28.628,,43.19200000000001,13.864,2.0,0.0,0.0,0.0,1569.2,,0.0,5.8,89.0,1007.5,4.8,349.0,96.0,,0.0,,
68,SENS_35B1A8,2026-03-06 21:05:00+00:00,28.478,,43.212,13.594,2.6,0.0,0.0,0.0,1560.4,,0.0,5.8,89.0,1007.5,4.8,349.0,96.0,,0.0,,
69,SENS_35B1A8,2026-03-06 21:15:00+00:00,28.44,,42.98,13.66,2.5,0.0,0.0,0.0,1540.5,,0.0,5.8,89.0,1007.5,4.8,349.0,96.0,,0.0,,
70,SENS_35B1A8,2026-03-06 21:25:00+00:00,28.172,,43.16199999999999,13.594,3.0,0.0,0.0,0.0,1526.2,,0.0,5.8,89.0,1007.5,4.8,349.0,96.0,,0.0,,
71,SENS_35B1A8,2026-03-06 21:35:00+00:00,28.114,,43.036,13.66,2.8,0.0,0.0,0.0,1510.2,,0.0,5.4,91.0,1007.7,4.4,351.0,98.0,,0.0,,
72,SENS_35B1A8,2026-03-06 21:45:00+00:00,27.926,,43.334,13.796,2.4,0.0,0.0,0.0,1507.4,,0.0,5.4,91.0,1007.7,4.4,351.0,98.0,,0.0,,
73,SENS_35B1A8,2026-03-06 21:55:00+00:00,27.888,,43.258,13.864,2.4,0.0,0.0,0.0,1509.8,,0.0,5.4,91.0,1007.7,4.4,351.0,98.0,,0.0,,
74,SENS_35B1A8,2026-03-06 22:05:00+00:00,27.862,,43.1,13.795999999999998,3.0,0.0,0.0,0.0,1505.6,,0.0,5.4,91.0,1007.7,4.4,351.0,98.0,,0.0,,
75,SENS_35B1A8,2026-03-06 22:15:00+00:00,27.788,,43.08399999999999,13.996,3.0,0.0,0.0,0.0,1500.8,,0.0,5.4,91.0,1007.7,4.4,351.0,98.0,,0.0,,
76,SENS_35B1A8,2026-03-06 22:25:00+00:00,27.715,,43.085,13.83,2.0,0.0,0.0,0.0,1500.0,,0.0,5.4,91.0,1007.7,4.4,351.0,98.0,,0.0,,
77,SENS_35B1A8,2026-03-06 22:40:00+00:00,27.625,,43.04,13.829999999999998,2.25,0.0,0.0,0.0,1497.5,,0.0,5.2,92.0,1008.1,2.7,28.0,100.0,,0.0,,
78,SENS_35B1A8,2026-03-06 22:50:00+00:00,27.552,,43.028,13.795999999999998,2.2,0.0,0.0,0.0,1493.6,,0.0,5.2,92.0,1008.1,2.7,28.0,100.0,,0.0,,
79,SENS_35B1A8,2026-03-06 23:00:00+00:00,27.488,,42.998,14.264,3.4,0.0,0.0,0.0,1489.6,,0.0,5.2,92.0,1008.1,2.7,28.0,100.0,,0.0,,
80,SENS_35B1A8,2026-03-06 23:10:00+00:00,27.4,,43.04,14.106666666666667,3.0,0.0,0.0,0.0,1489.0,,0.0,5.2,92.0,1008.1,2.7,28.0,100.0,,0.0,,
81,SENS_35B1A8,2026-03-06 23:20:00+00:00,27.3525,,42.9875,13.915,2.5,0.0,0.0,0.0,1486.25,,0.0,5.2,92.0,1008.1,2.7,28.0,100.0,,0.0,,
82,SENS_35B1A8,2026-03-06 23:30:00+00:00,27.3,,42.99,14.264,2.0,0.0,0.0,0.0,1482.8,,0.0,5.2,92.0,1008.1,2.7,28.0,100.0,,0.0,,
83,SENS_35B1A8,2026-03-06 23:40:00+00:00,27.282,,42.892,14.46,3.0,0.0,0.0,0.0,1480.6,,0.0,5.2,94.0,1008.2,3.0,17.0,100.0,,0.0,,
84,SENS_35B1A8,2026-03-06 23:50:00+00:00,27.192,,42.97,14.396,4.0,0.0,0.0,0.0,1478.6,,0.0,5.2,94.0,1008.2,3.0,17.0,100.0,,0.0,,
85,SENS_35B1A8,2026-03-07 00:00:00+00:00,27.156,,42.946000000000005,14.063999999999998,3.0,0.0,0.0,0.0,1473.8,,0.0,5.2,94.0,1008.2,3.0,17.0,100.0,,0.0,,
86,SENS_35B1A8,2026-03-07 00:10:00+00:00,27.092,,42.992,14.132,2.8,0.0,0.0,0.0,1478.6,,0.0,5.2,94.0,1008.2,3.0,17.0,100.0,,0.0,,
87,SENS_35B1A8,2026-03-07 00:20:00+00:00,27.034,,43.038,14.132,2.4,0.0,0.0,0.0,1482.0,,0.0,5.2,94.0,1008.2,3.0,17.0,100.0,,0.0,,
88,SENS_35B1A8,2026-03-07 00:40:00+00:00,26.99,,42.870000000000005,14.660000000000002,4.333333333333333,0.0,0.0,0.0,1475.0,,0.0,5.2,92.0,1008.2,3.0,57.0,100.0,,0.0,,
89,SENS_35B1A8,2026-03-07 00:50:00+00:00,26.938,,42.894000000000005,14.264,3.0,0.0,0.0,0.0,1478.2,,0.0,5.2,92.0,1008.2,3.0,57.0,100.0,,0.0,,
90,SENS_35B1A8,2026-03-07 01:00:00+00:00,26.992,,42.526,0.0,2.8,0.0,0.0,0.0,1468.8,,0.0,5.2,92.0,1008.2,3.0,57.0,100.0,,0.0,,
91,SENS_35B1A8,2026-03-07 01:10:00+00:00,26.924,,42.468,0.0,2.4,0.0,0.0,0.0,1458.2,,0.0,5.2,92.0,1008.2,3.0,57.0,100.0,,0.0,,
92,SENS_35B1A8,2026-03-07 01:20:00+00:00,26.93,,41.89999999999999,0.0,3.0,0.0,0.0,0.0,1421.0,,0.0,5.2,92.0,1008.2,3.0,57.0,100.0,,0.0,,
93,SENS_35B1A8,2026-03-07 01:30:00+00:00,26.75,,42.17399999999999,0.0,3.2,0.0,0.0,0.0,1416.2,,0.0,5.2,92.0,1008.2,3.0,57.0,100.0,,0.0,,
94,SENS_35B1A8,2026-03-07 01:40:00+00:00,26.74,,41.99,0.0,3.0,0.0,0.0,0.0,1414.0,,0.0,5.1,93.0,1008.1,3.2,47.0,100.0,,0.0,,
95,SENS_35B1A8,2026-03-07 01:50:00+00:00,26.636,,41.936,0.0,2.8,0.0,0.0,0.0,1391.0,,0.0,5.1,93.0,1008.1,3.2,47.0,100.0,,0.0,,
96,SENS_35B1A8,2026-03-07 02:00:00+00:00,26.504,,42.422,0.0,2.6,0.0,0.0,0.0,1407.0,,0.0,5.1,93.0,1008.1,3.2,47.0,100.0,,0.0,,
97,SENS_35B1A8,2026-03-07 02:10:00+00:00,26.534,,41.8,0.0,3.6,0.0,0.0,0.0,1380.2,,0.0,5.1,93.0,1008.1,3.2,47.0,100.0,,0.0,,
98,SENS_35B1A8,2026-03-07 02:20:00+00:00,26.386000000000003,,42.172,0.0,3.0,0.0,0.0,0.0,1388.8,,0.0,5.1,93.0,1008.1,3.2,47.0,100.0,,0.0,,
99,SENS_35B1A8,2026-03-07 02:30:00+00:00,26.306,,42.438,0.0,3.0,0.0,0.0,0.0,1391.8,,0.0,5.1,93.0,1008.1,3.2,47.0,100.0,,0.0,,
100,SENS_35B1A8,2026-03-07 02:40:00+00:00,26.368,,42.0,0.0,2.4,0.0,0.0,0.0,1374.6,,0.0,4.8,93.0,1007.8,3.9,47.0,100.0,,0.0,,
101,SENS_35B1A8,2026-03-07 03:00:00+00:00,26.27,,41.56,0.0,4.0,0.0,0.0,0.0,1323.0,,0.0,4.8,93.0,1007.8,3.9,47.0,100.0,,0.0,,
102,SENS_35B1A8,2026-03-07 03:10:00+00:00,26.012,,42.548,0.0,3.2,0.0,0.0,0.0,1365.8,,0.0,4.8,93.0,1007.8,3.9,47.0,100.0,,0.0,,
103,SENS_35B1A8,2026-03-07 03:20:00+00:00,26.056,,42.378,0.0,3.0,0.0,0.0,0.0,1367.6,,0.0,4.8,93.0,1007.8,3.9,47.0,100.0,,0.0,,
104,SENS_35B1A8,2026-03-07 03:30:00+00:00,26.034,,42.30800000000001,0.0,2.6,0.0,0.0,0.0,1365.8,,0.0,4.8,93.0,1007.8,3.9,47.0,100.0,,0.0,,
105,SENS_35B1A8,2026-03-07 03:40:00+00:00,25.956,,42.772,0.0,2.4,0.0,0.0,0.0,1386.0,,0.0,4.6,94.0,1007.4,3.8,79.0,100.0,,0.0,,
106,SENS_35B1A8,2026-03-07 03:50:00+00:00,26.059999999999995,,42.262,0.0,4.0,0.0,0.0,0.0,1374.6,,0.0,4.6,94.0,1007.4,3.8,79.0,100.0,,0.0,,
107,SENS_35B1A8,2026-03-07 04:00:00+00:00,25.915,,42.815,0.0,3.5,0.0,0.0,0.0,1396.5,,0.0,4.6,94.0,1007.4,3.8,79.0,100.0,,0.0,,
108,SENS_35B1A8,2026-03-07 04:10:00+00:00,26.03,,41.75,0.0,3.0,0.0,0.0,0.0,1371.0,,0.0,4.6,94.0,1007.4,3.8,79.0,100.0,,0.0,,
109,SENS_35B1A8,2026-03-07 04:20:00+00:00,25.832,,42.81,0.0,2.4,0.0,0.0,0.0,1391.4,,0.0,4.6,94.0,1007.4,3.8,79.0,100.0,,0.0,,
110,SENS_35B1A8,2026-03-07 04:30:00+00:00,26.084,,41.164,0.0,2.0,0.0,0.0,0.0,1334.2,,0.0,4.6,94.0,1007.4,3.8,79.0,100.0,,0.0,,
111,SENS_35B1A8,2026-03-07 04:40:00+00:00,25.73,,42.16,0.0,4.0,0.0,0.0,0.0,1327.4,,0.0,4.3,95.0,1007.4,4.6,81.0,100.0,,0.0,,
112,SENS_35B1A8,2026-03-07 04:50:00+00:00,25.736,,42.32,0.0,3.2,0.0,0.0,0.0,1347.6,,0.0,4.3,95.0,1007.4,4.6,81.0,100.0,,0.0,,
113,SENS_35B1A8,2026-03-07 05:00:00+00:00,25.685,,42.395,0.0,3.0,0.0,0.0,0.0,1365.0,,0.0,4.3,95.0,1007.4,4.6,81.0,100.0,,0.0,,
114,SENS_35B1A8,2026-03-07 05:10:00+00:00,25.743333333333336,,42.20666666666666,0.0,2.666666666666667,0.0,0.0,0.0,1353.6666666666667,,0.0,4.3,95.0,1007.4,4.6,81.0,100.0,,0.0,,
115,SENS_35B1A8,2026-03-07 05:20:00+00:00,25.686,,42.39,0.0,2.4,0.0,0.0,0.0,1364.8,,0.0,4.3,95.0,1007.4,4.6,81.0,100.0,,0.0,,
116,SENS_35B1A8,2026-03-07 05:30:00+00:00,25.566,,42.942,0.0,4.0,0.0,0.0,0.0,1390.6,,0.0,4.3,95.0,1007.4,4.6,81.0,100.0,,0.0,,
117,SENS_35B1A8,2026-03-07 05:40:00+00:00,25.616000000000003,,42.712,0.0,3.0,0.0,0.0,0.0,1389.8,,0.0,4.2,97.0,1007.6,5.6,94.0,100.0,,0.0,,
118,SENS_35B1A8,2026-03-07 05:50:00+00:00,25.562,,42.808,0.0,2.6,0.0,0.0,0.0,1405.6,,0.0,4.2,97.0,1007.6,5.6,94.0,100.0,,0.0,,
119,SENS_35B1A8,2026-03-07 06:00:00+00:00,25.617999999999995,,42.562,0.0,2.6,0.0,0.0,0.0,1415.0,,0.0,4.2,97.0,1007.6,5.6,94.0,100.0,,0.0,,
120,SENS_35B1A8,2026-03-07 06:10:00+00:00,25.55,,42.5725,0.0,2.5,0.0,0.0,0.0,1420.5,,0.0,4.2,97.0,1007.6,5.6,94.0,100.0,,0.0,,
121,SENS_35B1A8,2026-03-07 06:30:00+00:00,25.47,,42.602,0.0,3.0,0.0,0.0,0.0,1437.6,,0.0,4.2,97.0,1007.6,5.6,94.0,100.0,,0.0,,
122,SENS_35B1A8,2026-03-07 06:40:00+00:00,25.406,,42.622,0.132,2.8,0.0,0.0,0.0,1416.2,,0.0,4.4,96.0,1007.9,5.9,101.0,100.0,,0.0,,
123,SENS_35B1A8,2026-03-07 06:50:00+00:00,25.4,,42.620000000000005,0.33,2.0,0.0,0.0,0.0,1441.6,,0.0,4.4,96.0,1007.9,5.9,101.0,100.0,,0.0,,
124,SENS_35B1A8,2026-03-07 07:00:00+00:00,25.388,,42.442,0.33,2.4,0.0,0.0,0.0,1442.8,,0.0,4.4,96.0,1007.9,5.9,101.0,100.0,,0.0,,
125,SENS_35B1A8,2026-03-07 07:10:00+00:00,25.326,,42.540000000000006,0.33,3.2,0.0,0.0,0.0,1447.4,,0.0,4.4,96.0,1007.9,5.9,101.0,100.0,,0.0,,
126,SENS_35B1A8,2026-03-07 07:20:00+00:00,25.38,,42.08,0.66,3.0,0.0,0.0,0.0,1444.6,,0.0,4.4,96.0,1007.9,5.9,101.0,100.0,,0.0,,
127,SENS_35B1A8,2026-03-07 07:30:00+00:00,25.295,,41.795,0.66,3.0,0.0,0.0,0.0,1416.5,,0.0,4.4,96.0,1007.9,5.9,101.0,100.0,,0.0,,
128,SENS_35B1A8,2026-03-07 07:50:00+00:00,25.166000000000004,,42.192,0.66,2.4,0.0,0.0,0.0,1419.2,,0.0,4.9,92.0,1008.3,5.8,88.0,100.0,,0.0,,
129,SENS_35B1A8,2026-03-07 08:00:00+00:00,25.224,,41.75,1.0,4.0,0.0,0.0,0.0,1408.2,,0.0,4.9,92.0,1008.3,5.8,88.0,100.0,,0.0,,
130,SENS_35B1A8,2026-03-07 08:10:00+00:00,25.144,,41.862,0.796,3.0,0.0,0.0,0.0,1407.0,,0.0,4.9,92.0,1008.3,5.8,88.0,100.0,,0.0,,
131,SENS_35B1A8,2026-03-07 08:20:00+00:00,25.158,,41.41199999999999,1.0,2.8,0.0,0.0,0.0,1366.0,,0.0,4.9,92.0,1008.3,5.8,88.0,100.0,,0.0,,
132,SENS_35B1A8,2026-03-07 08:30:00+00:00,25.116,,41.12,1.0,2.2,0.0,0.0,0.0,1338.0,,0.0,4.9,92.0,1008.3,5.8,88.0,100.0,,0.0,,
133,SENS_35B1A8,2026-03-07 08:40:00+00:00,25.006,,41.678,1.198,2.6,0.0,0.0,0.0,1350.8,,0.0,5.4,90.0,1008.5,6.6,99.0,100.0,,0.0,,
134,SENS_35B1A8,2026-03-07 08:50:00+00:00,24.922500000000003,,42.325,2.4975,4.5,0.0,0.0,0.0,1383.75,,0.0,5.4,90.0,1008.5,6.6,99.0,100.0,,0.0,,
135,SENS_35B1A8,2026-03-07 09:00:00+00:00,25.085,,42.41,16.0,3.0,0.0,0.0,0.0,1401.5,,0.0,5.4,90.0,1008.5,6.6,99.0,100.0,,0.0,,
